Initials_4letter,YYYYMMDDHHMM,Substrate,Treatment,col1mm2,col2mm2,col3mm2,Temp_C
DaCa,202001171518,CranewoodSlice,Control,15.947,,,
DaCa,202001161326,CranewoodSlice,Control,5.706,,,
DaCa,202001161903,CranewoodSlice,Control,10.222,,,
DaCa,202001170650,CranewoodSlice,Control,11.557,,,
DaCa,202001170650,CranewoodSlice,Control,22.316,,,
DaCa,202001161326,CranewoodSlice,Control,4.655,,,
JuDe,202101221946,WhiteRoll,Control,6.22,,,21
JuDe,202101230756,WhiteRoll,Control,9.291,,,21
JuDe,202101232155,WhiteRoll,Control,14.641,,,21
JuDe,202101240759,WhiteRoll,Control,25.505,,,21
JuDe,202101251432,WhiteRoll,Control,26.978,,,21
JuDe,202101260958,WhiteRoll,Control,27.017,,,21
JuDe,202101261957,WhiteRoll,Control,36.134,,,21
ClKl,202101211506,Naan,Dark,7.98,2.46,6.13,20
ClKl,202101221442,Naan,Dark,13.01,8.51,5.45,20
ClKl,202101230955,Naan,Dark,23.92,8.28,9.59,20
ClKl,202101231702,Naan,Dark,25.49,10.91,9.13,20
ClKl,202101240946,Naan,Dark,32.38,13.52,22.67,20
ClKl,202101241603,Naan,Dark,34.04,13.99,23.41,20
ClKl,202101242202,Naan,Dark,40.33,15.07,27.47,20
ClKl,202101250805,Naan,Dark,,,,
,,,,,,,
MaSc,202101231151,SobeysBakerySlice,Control,9.727,6.421,8.276,21.7
MaSc,202101231753,SobeysBakerySlice,Control,15.769,7.211,6.767,21.3
MaSc,202101241011,SobeysBakerySlice,Control ,25.231,21.184,13.493,21.5
MaSc,202101242026,SobeysBakerySlice,Control,38.945,42.592,16.278,21.3
MaSc,202101251046,SobeysBakerySlice,Control,57.238,43.697,32.224,21.2
MaSc,202101252247,SobeysBakerySlice,Control,102.858,94.171,69.966,22.2
MaSc,202101241011,SobeysBakerySlice,Hot,6.359,,,25.3
MaSc,202101242025,SobeysBakerySlice,Hot ,6.833,,,27.2
MaSc,202101251046,SobeysBakerySlice,Hot,11.677,7.389,2.378,25.5
MaSc,202101252247,SobeysBakerySlice,Hot,33.116,15.602,11.005,26.8
ElSh,202101211506,Naan,Dark,10.717,3.172,5.276,20
ElSh,202101221442,Naan,Dark,22.094,9.141,7.677,20
ElSh,202101230955,Naan,Dark,36.399,26.947,8.596,20
ElSh,202101231702,Naan,Dark,32.761,30.36,8.885,20
ElSh,202101240946,Naan,Dark,38.71,48.709,9.223,20
GaSu,202101211506,Naan,Dark,18.337,5.63,14.144,20
GaSu,202101221442,Naan,Dark,22.864,7.823,18.588,20
GaSu,202101230955,Naan,Dark,32.947,23.027,20.621,20
GaSu,202101231702,Naan,Dark,38.9,30.977,16.807,20
GaSu,202101240946,Naan,Dark,46.673,45.582,23.189,20
GaSu,202101241603,Naan,Dark,52.268,54.098,24.154,20
GaSu,202101242202,Naan,Dark,64.032,86.234,20.081,20
GaSu,202101250805,Naan,Dark,82.861,126.56,23.102,20
GaSu,202101251529,Naan,Dark,101.928,143.179,28.422,20
GaSu,202101252025,Naan,Dark,115.712,126.236,22.609,20
AnMa,202101241310,CranewoodSlice,Control,4.363,,,
AnMa,202101250918,CranewoodSlice,Control,13.652,,,
LaSw,202101211506,Naan,Dark,11.359,3.202,5.432,20
LaSw,202101221442,Naan,Dark,20.993,9.176,10.986,20
LaSw,202101230955,Naan,Dark,34.259,25.477,12.019,20
LaSw,202101231702,Naan,Dark,32.767,29.437,11.607,20
LaSw,202101240946,Naan,Dark,37.718,43.218,9.117,20
ZaBo,202101211506,Naan,Dark,10.113,4.956,2.146,20
ZaBo,202101221442,Naan,Dark,13.824,6.89,7.123,20
ZaBo,202101230955,Naan,Dark,28.433,11.75,14.513,20
ZaBo,202101231702,Naan,Dark,36.858,14.546,29.812,20
ZaBo,202101240946,Naan,Dark,41.291,18.039,52.686,20
ZaBo,202101241603,Naan,Dark,47.234,19.178,67.432,20
ZaBo,202101242202,Naan,Dark,51.982,19.967,87.571,20
MiDo,202101221442,Naan,Dark,14.447,6.137,6.944,20
MiDo,202101230955,Naan,Dark,25.61,17.848,4.355,
LiBa,202101241603,Naan,Dark,37.499,,,20
LiBa,202101242202,Naan,Dark,45.182,,,20
LiBa,202101250805,Naan,Dark,59.07,,,20
RoAi,202101211506,Naan,Dark,7.631,2.001,2.734,20
RoAi,202101221442,Naan,Dark,16.538,4.184,3.316,20
RoAi,202101230955,Naan,Dark,23.332,13.66,6.448,20
RoAi,202101231702,Naan,Dark,27.47,28.398,6.954,20
RoAi,202101240946,Naan,Dark,37.444,43.601,8.619,20
RoAi,202101241603,Naan,Dark,40.324,53.494,7.913,20
RoAi,202101242202,Naan,Dark,52.415,69.034,10.863,20
RoAi,202101250805,Naan,Dark,70.906,97.897,12.133,20
KeWr,202101211506,Naan,Dark,6.733,0.987,0.567,20
KeWr,202101221442,Naan,Dark,13.15,2.808,4.241,20
KeWr,202101230955,Naan,Dark,23.23,9.557,4.731,20
LaSw,202101241603,Naan,Dark,38.619,47.466,10.52,20
LaSw,202101242202,Naan,Dark,47.075,62.179,11.738,20
LaSw,202101250805,Naan,Dark,71.559,92.073,13.866,20
BaMu,202101211506,Naan,Dark,8.296,1.877,1.757,20
BaMu,202101221442,Naan,Dark,15.683,8.992,4.296,20
BaMu,202101230955,Naan,Dark,31.181,21.745,9.444,20
BaMu,202101231702,Naan,Dark,38.971,25.337,10.65,20
BaMu,202101240946,Naan,Dark,39.086,43.905,11.786,20
BaMu,202101241603,Naan,Dark,39.247,47.066,11.85,20
BaMu,202101242202,Naan,Dark,51.473,64.753,11.98,20
BaMu,202101250805,Naan,Dark,64.907,91.037,13.362,20
SaMc,202101211506,Naan,Dark,10.112,4.923,2.692,20
